INDUS,DIS,NOX,RAD,TAX,MEDV-result
3.24,2.16152,0.408,4,236.8,1
8.472,3.15632,0.3912,3.2,221.6,1
15.664,1.9376,0.484,4,322.4,1
8.648,4.22984,0.3304,3.2,244,1
8.008,2.142,0.4376,4.8,345.6,1
3.176,1.5892,0.5176,4,211.2,1
6.296,4.4484,0.4192,4,248.8,1
3.888,4.32056,0.3408,3.2,224.8,1
12.032,2.93272,0.3712,3.2,216,1
17.512,1.86192,0.4992,3.2,349.6,1
11.112,2.69064,0.44,4,220.8,1
6.512,3.59888,0.4304,3.2,245.6,1
3.24,2.07688,0.408,4,236.8,1
3.24,2.84392,0.408,4,236.8,1
4.256,5.85376,0.324,4.8,234.4,1
4.104,6.25184,0.3624,6.4,227.2,1
15.664,1.41272,0.6968,4,322.4,1
11.112,2.48968,0.44,4,220.8,1
3.944,4.95192,0.3424,4.8,240,1
4.512,5.45176,0.3512,3.2,194.4,1
8.648,4.22984,0.3304,3.2,244,1
2.696,5.2892,0.3184,3.2,269.6,1
2.728,2.73736,0.3912,1.6,216,1
3.24,2.11704,0.408,4,236.8,1
8.472,2.87,0.3912,3.2,221.6,1
3.944,4.95192,0.3424,4.8,240,1
3.944,5.6284,0.3424,4.8,240,1
15.664,1.94072,0.484,4,322.4,1
15.664,1.68,0.484,4,322.4,1
3.888,4.32056,0.3408,3.2,224.8,1
3.592,3.82352,0.3592,2.4,197.6,1
11.136,4.40216,0.3496,3.2,231.2,1
1.848,3.272,0.4304,0.8,236.8,1
4.96,2.92152,0.4056,6.4,245.6,1
10.264,3.4012,0.3496,4,318.4,1
1.624,5.016,0.332,1.6,278.4,1
8.648,4.22984,0.3304,3.2,244,1
15.664,1.40584,0.484,4,322.4,1
4.96,2.9372,0.4032,6.4,245.6,1
4.688,6.4444,0.3448,5.6,264,1
8.472,3.48392,0.3912,3.2,221.6,1
8.472,3.39136,0.3912,3.2,221.6,1
4.688,5.91736,0.3448,5.6,264,1
5.568,3.134,0.3712,2.4,178.4,1
4.688,6.2612,0.3448,5.6,264,1
3.24,2.654,0.408,4,236.8,2
4.768,3.07784,0.3992,4,223.2,2
5.528,4.57672,0.3584,2.4,186.4,2
0.592,7.35008,0.328,1.6,250.4,2
3.888,4.32056,0.3408,3.2,224.8,2
4.688,5.91736,0.3448,5.6,264,2
4.256,5.85376,0.324,4.8,234.4,2
4.512,5.45176,0.3512,3.2,194.4,2
4.104,6.38472,0.3624,6.4,227.2,2
12.032,2.93272,0.3712,3.2,216,2
15.664,1.82672,0.484,4,322.4,2
8.472,3.15632,0.3912,3.2,221.6,2
4.96,3.3184,0.4056,6.4,245.6,2
5.568,3.5432,0.3712,2.4,178.4,2
5.528,4.57672,0.3584,2.4,186.4,2
4.688,6.2612,0.3448,5.6,264,2
1.968,2.39032,0.3904,2.4,154.4,2
6.848,2.28488,0.416,4,307.2,2
5.528,4.57672,0.3584,2.4,186.4,2
3.592,3.55016,0.3592,2.4,197.6,2
4.96,2.28936,0.4056,6.4,245.6,2
15.664,1.43872,0.484,4,322.4,2
6.296,4.7604,0.4192,4,248.8,2
11.136,4.76832,0.3496,3.2,231.2,2
6.848,2.22224,0.416,4,307.2,2
4.96,2.61768,0.4056,6.4,245.6,2
3.96,4.09336,0.3288,3.2,196,2
3.888,4.32056,0.3408,3.2,224.8,2
8.472,3.15632,0.3912,3.2,221.6,2
2.312,2.79616,0.356,1.6,220.8,2
3.96,4.09336,0.3288,3.2,196,2
11.136,4.76832,0.3496,3.2,231.2,2
1.744,4.84976,0.3664,2.4,177.6,2
2.728,2.7316,0.3912,1.6,216,2
11.112,2.73688,0.44,4,220.8,2
4.96,2.92152,0.4056,6.4,245.6,2
2.344,4.97568,0.3208,0.8,212,2
5.128,3.31224,0.3576,3.2,203.2,2
3.24,2.50584,0.408,4,236.8,2
1.968,2.62376,0.3904,2.4,154.4,2
4.688,7.12536,0.3448,5.6,264,2
2.752,3.65336,0.3496,4,318.4,2
3.24,2.33224,0.408,4,236.8,2
4.96,2.61768,0.4056,6.4,245.6,2
3.176,1.60856,0.5176,4,211.2,2
1.216,5.8472,0.3232,1.6,263.2,2
2.752,5.18384,0.3496,4,318.4,2
3.176,1.70632,0.5176,4,211.2,2
2.36,4.32088,0.3424,2.4,201.6,2
3.176,1.66304,0.5176,4,211.2,2
2.344,4.97568,0.3208,0.8,212,2
4.96,2.70008,0.4032,6.4,245.6,2
4.96,3.3184,0.4056,6.4,245.6,2
1.056,6.65984,0.3288,4,204.8,2
4.96,2.57256,0.4032,6.4,245.6,2
4.96,2.9372,0.4032,6.4,245.6,2
2.752,3.03088,0.3496,4,318.4,2
5.128,3.41384,0.3576,3.2,203.2,2
2.376,5.84584,0.32,0.8,228,2
5.128,3.26208,0.3576,3.2,203.2,2
1.968,2.2776,0.3904,2.4,154.4,2
1.176,6.12272,0.3224,2.4,321.6,2
1.104,7.37832,0.33288,2.4,172.8,2
5.128,3.89024,0.3576,3.2,203.2,2
2.312,2.79616,0.356,1.6,220.8,2
5.128,3.82976,0.3576,3.2,203.2,2
1.216,5.8472,0.3232,1.6,263.2,2
1.744,4.84976,0.3664,2.4,177.6,2
3.176,1.68968,0.5176,4,211.2,2
1.216,5.8472,0.3232,1.6,263.2,2
5.656,3.97368,0.3752,1.6,193.6,2
2.36,4.32088,0.3424,2.4,201.6,2
2.752,3.65336,0.3496,4,318.4,2
1.176,6.12272,0.3224,2.4,321.6,2
2.664,3.28056,0.35432,4,172.8,2
5.568,3.4932,0.3712,2.4,178.4,2
0.976,6.95728,0.3224,4,180.8,2
2.664,4.19576,0.35432,4,172.8,2
3.176,1.51568,0.5176,4,211.2,2
1.744,4.84976,0.3664,2.4,177.6,2
1.968,2.07832,0.3904,2.4,154.4,2
2.752,5.18384,0.3496,4,318.4,2
3.176,1.54408,0.5176,4,211.2,2
2.752,5.18384,0.3496,4,318.4,2
1.968,2.2632,0.3904,2.4,154.4,2
3.96,4.09336,0.3288,3.2,196,3
4.96,2.57256,0.4032,6.4,245.6,3
1.968,2.16048,0.3904,2.4,154.4,3
2.312,2.79616,0.356,1.6,220.8,3
1.968,2.1928,0.3904,2.4,154.4,3
15.664,1.50184,0.484,4,322.4,3
4.96,3.07072,0.4056,6.4,245.6,3
1.624,5.016,0.332,1.6,278.4,3
4.688,7.12536,0.3448,5.6,264,3
3.176,1.71184,0.5176,4,211.2,3
3.176,2.2976,0.46,4,211.2,3
2.312,2.79616,0.356,1.6,220.8,3
3,5.06888,0.3152,2.4,195.2,3
4.96,2.31552,0.4032,6.4,245.6,3
2.664,3.75576,0.35432,4,172.8,3
2.664,4.16952,0.35432,4,172.8,3
4.96,2.70008,0.4032,6.4,245.6,3
4.96,2.92152,0.4056,6.4,245.6,3
2.144,4.0944,0.33288,3.2,179.2,3
3.176,1.8308,0.5176,4,211.2,3
15.664,1.57672,0.484,4,322.4,3
15.664,1.63256,0.484,4,322.4,3
15.664,1.7296,0.484,4,322.4,3
15.664,1.63672,0.484,4,322.4,3
1.968,2.55936,0.3904,2.4,154.4,3
0.368,4.51872,0.3376,3.2,204,3
2.144,4.0944,0.33288,3.2,179.2,3
4.96,2.31552,0.4032,6.4,245.6,3
3.176,1.4408,0.5176,4,211.2,3
3.176,1.93728,0.46,4,211.2,3
0.968,4.708,0.3208,0.8,158.4,3
